Date,SPOT
2019-01-03,109.0199966430664
2019-01-04,118.51000213623047
2019-01-07,119.36000061035156
2019-01-08,117.4800033569336
2019-01-09,122.69000244140625
2019-01-10,123.93000030517578
2019-01-11,120.5199966430664
2019-01-14,126.70999908447266
2019-01-15,131.25
2019-01-16,134.25
2019-01-17,133.25
2019-01-18,133.66000366210938
2019-01-22,133.8000030517578
2019-01-23,130.9199981689453
2019-01-24,132.6999969482422
2019-01-25,134.6699981689453
2019-01-28,133.25
2019-01-29,132.4600067138672
2019-01-30,136.47000122070312
2019-01-31,135.4499969482422
2019-02-01,137.2100067138672
2019-02-04,138.60000610351562
2019-02-05,139.39999389648438
2019-02-06,135.4499969482422
2019-02-07,131.19000244140625
2019-02-08,134.7100067138672
2019-02-11,137.82000732421875
2019-02-12,140.4600067138672
