Date,LEN
1980-10-29,2.622091054916382
1980-10-30,2.5401508808135986
1980-10-31,2.6630609035491943
1980-11-03,2.9293670654296875
1980-11-05,3.1342179775238037
1980-11-06,2.9908230304718018
1980-11-07,2.908881902694702
1980-11-10,2.8679120540618896
1980-11-11,3.072762966156006
1980-11-12,3.257128953933716
1980-11-13,3.3800389766693115
1980-11-14,3.2980990409851074
1980-11-17,3.2161591053009033
1980-11-18,3.277614116668701
1980-11-19,3.3185839653015137
1980-11-20,3.257128953933716
1980-11-21,3.2161591053009033
1980-11-24,3.1137330532073975
1980-11-25,3.1137330532073975
1980-11-26,3.195673942565918
1980-11-28,3.1751880645751953
