Date,XLC
2019-03-19,46.70000076293945
2019-03-20,47.119998931884766
2019-03-21,47.7400016784668
2019-03-22,46.970001220703125
2019-03-25,46.88999938964844
2019-03-26,47.119998931884766
2019-03-27,46.779998779296875
2019-03-28,46.66999816894531
2019-03-29,46.77000045776367
2019-04-01,47.47999954223633
2019-04-02,47.72999954223633
2019-04-03,47.90999984741211
2019-04-04,48.18000030517578
2019-04-05,48.31999969482422
2019-04-08,48.22999954223633
2019-04-09,48.36000061035156
2019-04-10,48.56999969482422
2019-04-11,48.599998474121094
2019-04-12,49.02000045776367
2019-04-15,48.97999954223633
2019-04-16,49.029998779296875
2019-04-17,49.119998931884766
2019-04-18,49.150001525878906
2019-04-22,49.369998931884766
2019-04-23,50.029998779296875
2019-04-24,49.79999923706055
