Date,XLF
2004-11-23,23.98862648010254
2004-11-24,24.086109161376953
2004-11-26,24.10235595703125
2004-11-29,23.98862648010254
2004-11-30,23.964256286621094
2004-12-01,24.43541717529297
2004-12-02,24.394800186157227
2004-12-03,24.386676788330078
2004-12-06,24.370431900024414
2004-12-07,24.167343139648438
2004-12-08,24.232330322265625
2004-12-09,24.362306594848633
2004-12-10,24.402923583984375
2004-12-13,24.565393447875977
2004-12-14,24.646629333496094
2004-12-15,24.77660369873047
2004-12-16,24.60601043701172
2004-12-17,24.37855339050293
2004-12-20,24.337936401367188
2004-12-21,24.654752731323242
2004-12-22,24.792850494384766
2004-12-23,24.84159278869629
2004-12-27,24.71161651611328
2004-12-28,24.82534408569336
2004-12-29,24.76848030090332
2004-12-30,24.800975799560547
2004-12-31,24.800975799560547
2005-01-03,24.71161651611328
2005-01-04,24.476036071777344
2005-01-05,24.43541717529297
2005-01-06,24.557270050048828
2005-01-07,24.427295684814453
2005-01-10,24.4516658782959
2005-01-11,24.346059799194336
2005-01-12,24.313566207885742
2005-01-13,24.077985763549805
2005-01-14,24.15921974182129
2005-01-18,24.54102325439453
2005-01-19,24.297319412231445
2005-01-20,24.118602752685547
2005-01-21,23.99675178527832
2005-01-24,24.004873275756836
2005-01-25,24.021120071411133
2005-01-26,24.134849548339844
2005-01-27,24.012998580932617
2005-01-28,23.98050308227539
2005-01-31,24.26482582092285
2005-02-01,24.524776458740234
2005-02-02,24.524776458740234
2005-02-03,24.411048889160156
2005-02-04,24.703493118286133
2005-02-07,24.727863311767578
2005-02-08,24.630382537841797
2005-02-09,24.565393447875977
2005-02-10,24.638505935668945
2005-02-11,24.83346939086914
2005-02-14,24.792850494384766
2005-02-15,24.849716186523438
2005-02-16,24.679122924804688
2005-02-17,24.459789276123047
2005-02-18,24.199838638305664
2005-02-22,23.842405319213867
2005-02-23,24.061737060546875
2005-02-24,24.0942325592041
2005-02-25,24.337936401367188
2005-02-28,24.10235595703125
2005-03-01,24.337936401367188
2005-03-02,24.26482582092285
2005-03-03,24.22420883178711
2005-03-04,24.532899856567383
2005-03-07,24.532899856567383
2005-03-08,24.49228286743164
2005-03-09,24.191713333129883
2005-03-10,24.32981300354004
2005-03-11,24.118602752685547
2005-03-14,24.248577117919922
2005-03-15,24.086109161376953
2005-03-16,23.842405319213867
2005-03-17,23.777416229248047
2005-03-18,23.53371238708496
2005-03-21,23.32250213623047
2005-03-22,22.891958236694336
2005-03-23,22.940698623657227
2005-03-24,22.826969146728516
2005-03-28,22.989439010620117
2005-03-29,22.908205032348633
2005-03-30,23.19252586364746
2005-03-31,23.062551498413086
2005-04-01,22.74573516845703
2005-04-04,22.908205032348633
2005-04-05,22.97319221496582
2005-04-06,23.127538681030273
2005-04-07,23.216896057128906
2005-04-08,23.005685806274414
2005-04-11,23.054426193237305
2005-04-12,23.37124252319336
2005-04-13,23.030057907104492
2005-04-14,22.770105361938477
2005-04-15,22.52640151977539
2005-04-18,22.713241577148438
2005-04-19,22.74573516845703
2005-04-20,22.46141242980957
2005-04-21,22.591388702392578
2005-04-22,22.53452491760254
2005-04-25,22.818845748901367
2005-04-26,22.688871383666992
2005-04-27,23.005685806274414
2005-04-28,22.75385856628418
2005-04-29,23.103168487548828
2005-05-02,23.160032272338867
2005-05-03,23.184402465820312
2005-05-04,23.631193161010742
2005-05-05,23.525588989257812
2005-05-06,23.354995727539062
2005-05-09,23.558082580566406
2005-05-10,23.249391555786133
2005-05-11,23.354995727539062
2005-05-12,23.135662078857422
2005-05-13,22.932575225830078
2005-05-16,23.338748931884766
2005-05-17,23.48497200012207
2005-05-18,23.76116943359375
2005-05-19,23.785539627075195
2005-05-20,23.76116943359375
2005-05-23,23.793664932250977
2005-05-24,23.71242904663086
2005-05-25,23.631193161010742
2005-05-26,23.785539627075195
2005-05-27,23.82615852355957
2005-05-31,23.785539627075195
2005-06-01,23.972379684448242
2005-06-02,23.907392501831055
2005-06-03,23.785539627075195
2005-06-06,23.842405319213867
2005-06-07,23.82615852355957
2005-06-08,23.842405319213867
2005-06-09,23.915515899658203
2005-06-10,23.842405319213867
2005-06-13,23.842405319213867
2005-06-14,23.907392501831055
2005-06-15,23.964256286621094
2005-06-16,24.086109161376953
2005-06-17,24.069862365722656
2005-06-20,24.012998580932617
2005-06-21,24.10235595703125
2005-06-22,24.069862365722656
2005-06-23,23.850528717041016
2005-06-24,23.809911727905273
2005-06-27,23.801786422729492
2005-06-28,23.98050308227539
2005-06-29,24.0942325592041
2005-06-30,23.93988609313965
2005-07-01,23.964256286621094
2005-07-05,24.15921974182129
2005-07-06,23.98050308227539
2005-07-07,24.029245376586914
2005-07-08,24.27294921875
2005-07-11,24.37855339050293
2005-07-12,24.37855339050293
2005-07-13,24.484159469604492
2005-07-14,24.60601043701172
2005-07-15,24.67099952697754
2005-07-18,24.411048889160156
2005-07-19,24.402923583984375
2005-07-20,24.49228286743164
2005-07-21,24.362306594848633
2005-07-22,24.49228286743164
2005-07-25,24.394800186157227
2005-07-26,24.427295684814453
2005-07-27,24.459789276123047
2005-07-28,24.532899856567383
2005-07-29,24.313566207885742
2005-08-01,24.313566207885742
2005-08-02,24.49228286743164
2005-08-03,24.524776458740234
2005-08-04,24.354183197021484
2005-08-05,24.077985763549805
2005-08-08,23.98050308227539
2005-08-09,24.134849548339844
2005-08-10,24.1104793548584
2005-08-11,24.199838638305664
