Date,JPM
1980-12-10,5.740740776062012
1980-12-11,5.759259223937988
1980-12-12,5.722221851348877
1980-12-15,5.759259223937988
1980-12-16,5.814815044403076
1980-12-17,6.0
1980-12-18,6.1666669845581055
1980-12-19,6.185184955596924
1980-12-22,6.277778148651123
1980-12-23,6.1666669845581055
1980-12-24,6.203703880310059
1980-12-26,6.185184955596924
1980-12-29,6.185184955596924
1980-12-30,6.185184955596924
1980-12-31,6.314815044403076
1981-01-02,6.351851940155029
1981-01-05,6.722221851348877
1981-01-06,6.629630088806152
1981-01-07,6.444444179534912
1981-01-08,6.518518924713135
1981-01-09,6.740740776062012
1981-01-12,6.925926208496094
1981-01-13,6.962963104248047
1981-01-14,7.018518924713135
1981-01-15,7.148148059844971
1981-01-16,7.1666669845581055
