Date,ENB
2006-12-05,17.75
2006-12-06,17.709999084472656
2006-12-07,17.834999084472656
2006-12-08,17.864999771118164
2006-12-11,17.71500015258789
2006-12-12,17.864999771118164
2006-12-13,17.625
2006-12-14,17.475000381469727
2006-12-15,17.280000686645508
2006-12-18,17.18000030517578
2006-12-19,17.190000534057617
2006-12-20,17.299999237060547
2006-12-21,17.165000915527344
2006-12-22,17.049999237060547
2006-12-26,16.9950008392334
2006-12-27,17.06999969482422
2006-12-28,17.31999969482422
2006-12-29,17.200000762939453
2007-01-03,17.350000381469727
2007-01-04,17.344999313354492
2007-01-05,16.93000030517578
2007-01-08,16.899999618530273
2007-01-09,16.799999237060547
2007-01-10,16.81999969482422
2007-01-11,16.764999389648438
2007-01-12,16.81999969482422
2007-01-16,16.635000228881836
2007-01-17,16.405000686645508
2007-01-18,16.325000762939453
2007-01-19,16.350000381469727
2007-01-22,16.21500015258789
2007-01-23,16.295000076293945
2007-01-24,16.28499984741211
2007-01-25,16.239999771118164
2007-01-26,16.389999389648438
2007-01-29,16.280000686645508
2007-01-30,16.334999084472656
2007-01-31,16.100000381469727
2007-02-01,16.34000015258789
2007-02-02,16.084999084472656
2007-02-05,16.079999923706055
2007-02-06,16.024999618530273
2007-02-07,15.96500015258789
2007-02-08,16.149999618530273
2007-02-09,16.299999237060547
2007-02-12,16.315000534057617
2007-02-13,16.440000534057617
2007-02-14,16.44499969482422
2007-02-15,16.395000457763672
2007-02-16,16.360000610351562
2007-02-20,16.299999237060547
2007-02-21,16.375
2007-02-22,16.2549991607666
2007-02-23,16.325000762939453
2007-02-26,16.40999984741211
2007-02-27,15.970000267028809
2007-02-28,15.864999771118164
2007-03-01,16.100000381469727
2007-03-02,15.789999961853027
2007-03-05,15.46500015258789
2007-03-06,15.725000381469727
2007-03-07,15.755000114440918
2007-03-08,15.869999885559082
2007-03-09,16.1200008392334
2007-03-12,16.190000534057617
2007-03-13,15.9399995803833
2007-03-14,15.899999618530273
2007-03-15,15.854999542236328
2007-03-16,16.149999618530273
2007-03-19,16.155000686645508
2007-03-20,16.510000228881836
2007-03-21,16.729999542236328
2007-03-22,16.735000610351562
2007-03-23,16.7549991607666
