Date,CAT
1962-08-20,1.4010419845581055
1962-08-21,1.4010419845581055
1962-08-22,1.4270830154418945
1962-08-23,1.4427080154418945
1962-08-24,1.4583330154418945
1962-08-27,1.4739580154418945
1962-08-28,1.4583330154418945
1962-08-29,1.4583330154418945
1962-08-30,1.4583330154418945
1962-08-31,1.4635419845581055
1962-09-04,1.4479169845581055
1962-09-05,1.4114580154418945
1962-09-06,1.4114580154418945
1962-09-07,1.4322919845581055
1962-09-10,1.40625
1962-09-11,1.4114580154418945
1962-09-12,1.4166669845581055
1962-09-13,1.453125
1962-09-14,1.40625
1962-09-17,1.4010419845581055
1962-09-18,1.421875
1962-09-19,1.40625
1962-09-20,1.421875
1962-09-21,1.40625
1962-09-24,1.3697919845581055
1962-09-25,1.390625
1962-09-26,1.3489580154418945
1962-09-27,1.328125
1962-09-28,1.3125
1962-10-01,1.3072919845581055
