Date,XLK
2001-06-19,25.889999389648438
2001-06-20,26.15999984741211
2001-06-21,26.649999618530273
2001-06-22,26.399999618530273
2001-06-25,26.780000686645508
2001-06-26,26.93000030517578
2001-06-27,26.989999771118164
2001-06-28,27.520000457763672
2001-06-29,28.170000076293945
2001-07-02,28.149999618530273
2001-07-03,28.049999237060547
2001-07-05,27.149999618530273
2001-07-06,25.899999618530273
2001-07-09,26.229999542236328
2001-07-10,25.43000030517578
2001-07-11,25.559999465942383
2001-07-12,27.260000228881836
2001-07-13,27.34000015258789
2001-07-16,26.68000030517578
2001-07-17,27.0
2001-07-18,25.969999313354492
2001-07-19,26.450000762939453
2001-07-20,26.299999237060547
2001-07-23,25.65999984741211
2001-07-24,25.31999969482422
2001-07-25,25.860000610351562
2001-07-26,26.350000381469727
2001-07-27,26.309999465942383
2001-07-30,26.229999542236328
2001-07-31,26.219999313354492
2001-08-01,26.920000076293945
2001-08-02,27.290000915527344
2001-08-03,26.899999618530273
2001-08-06,26.56999969482422
2001-08-07,26.420000076293945
2001-08-08,25.56999969482422
2001-08-09,25.579999923706055
2001-08-10,25.540000915527344
2001-08-13,25.639999389648438
2001-08-14,25.309999465942383
2001-08-15,24.739999771118164
2001-08-16,24.8700008392334
2001-08-17,24.1299991607666
2001-08-20,24.290000915527344
2001-08-21,23.579999923706055
2001-08-22,23.81999969482422
2001-08-23,23.799999237060547
2001-08-24,24.959999084472656
2001-08-27,24.899999618530273
2001-08-28,24.209999084472656
2001-08-29,23.75
2001-08-30,22.829999923706055
2001-08-31,23.020000457763672
2001-09-04,22.520000457763672
2001-09-05,22.329999923706055
2001-09-06,21.270000457763672
2001-09-07,21.020000457763672
2001-09-10,21.469999313354492
2001-09-17,20.100000381469727
2001-09-18,19.920000076293945
2001-09-19,19.739999771118164
2001-09-20,18.8799991607666
2001-09-21,18.34000015258789
2001-09-24,19.3700008392334
2001-09-25,19.549999237060547
2001-09-26,18.889999389648438
2001-09-27,18.739999771118164
2001-09-28,19.25
2001-10-01,19.0
2001-10-02,18.979999542236328
2001-10-03,20.25
2001-10-04,20.68000030517578
2001-10-05,20.670000076293945
2001-10-08,20.809999465942383
2001-10-09,20.329999923706055
2001-10-10,20.959999084472656
2001-10-11,21.969999313354492
2001-10-12,21.920000076293945
2001-10-15,21.770000457763672
2001-10-16,22.0
2001-10-17,21.0
2001-10-18,20.950000762939453
2001-10-19,21.229999542236328
2001-10-22,21.729999542236328
2001-10-23,21.75
2001-10-24,22.020000457763672
2001-10-25,22.549999237060547
2001-10-26,22.579999923706055
2001-10-29,21.5
2001-10-30,21.059999465942383
2001-10-31,21.350000381469727
2001-11-01,22.09000015258789
2001-11-02,22.1200008392334
2001-11-05,22.799999237060547
2001-11-06,23.600000381469727
2001-11-07,23.5
2001-11-08,23.6200008392334
2001-11-09,23.530000686645508
2001-11-12,23.709999084472656
2001-11-13,24.549999237060547
2001-11-14,24.68000030517578
2001-11-15,24.530000686645508
2001-11-16,24.450000762939453
2001-11-19,24.959999084472656
2001-11-20,24.260000228881836
2001-11-21,24.020000457763672
2001-11-23,24.389999389648438
2001-11-26,24.809999465942383
2001-11-27,24.729999542236328
2001-11-28,23.950000762939453
2001-11-29,24.59000015258789
2001-11-30,24.540000915527344
2001-12-03,24.190000534057617
2001-12-04,24.950000762939453
2001-12-05,26.149999618530273
2001-12-06,26.079999923706055
2001-12-07,25.600000381469727
2001-12-10,25.040000915527344
2001-12-11,25.219999313354492
2001-12-12,25.31999969482422
2001-12-13,24.420000076293945
2001-12-14,24.520000457763672
2001-12-17,24.989999771118164
2001-12-18,25.09000015258789
2001-12-19,24.729999542236328
2001-12-20,23.8799991607666
2001-12-21,24.200000762939453
2001-12-24,24.110000610351562
2001-12-26,24.299999237060547
2001-12-27,24.510000228881836
2001-12-28,24.559999465942383
2001-12-31,24.0
2002-01-02,24.600000381469727
2002-01-03,25.68000030517578
2002-01-04,25.84000015258789
2002-01-07,25.559999465942383
2002-01-08,25.75
2002-01-09,25.549999237060547
2002-01-10,25.34000015258789
2002-01-11,25.100000381469727
2002-01-14,24.709999084472656
2002-01-15,24.8700008392334
2002-01-16,24.260000228881836
2002-01-17,24.860000610351562
2002-01-18,24.030000686645508
2002-01-22,23.170000076293945
2002-01-23,23.520000457763672
2002-01-24,23.8700008392334
2002-01-25,23.780000686645508
2002-01-28,23.950000762939453
2002-01-29,23.100000381469727
2002-01-30,23.399999618530273
2002-01-31,23.739999771118164
2002-02-01,23.299999237060547
2002-02-04,22.639999389648438
2002-02-05,22.290000915527344
2002-02-06,22.15999984741211
2002-02-07,21.829999923706055
2002-02-08,22.25
2002-02-11,22.75
2002-02-12,22.3799991607666
2002-02-13,22.739999771118164
2002-02-14,22.5
2002-02-15,21.850000381469727
2002-02-19,21.079999923706055
2002-02-20,21.34000015258789
2002-02-21,20.350000381469727
2002-02-22,20.479999542236328
2002-02-25,21.170000076293945
2002-02-26,21.040000915527344
2002-02-27,20.889999389648438
2002-02-28,20.649999618530273
2002-03-01,21.690000534057617
2002-03-04,22.479999542236328
2002-03-05,22.549999237060547
2002-03-06,22.770000457763672
2002-03-07,22.690000534057617
2002-03-08,23.290000915527344
2002-03-11,23.360000610351562
2002-03-12,22.860000610351562
2002-03-13,22.260000228881836
2002-03-14,22.0
2002-03-15,22.15999984741211
2002-03-18,22.229999542236328
2002-03-19,22.31999969482422
2002-03-20,21.639999389648438
2002-03-21,22.06999969482422
2002-03-22,21.75
2002-03-25,21.260000228881836
2002-03-26,21.420000076293945
2002-03-27,21.40999984741211
2002-03-28,21.670000076293945
2002-04-01,21.90999984741211
2002-04-02,21.270000457763672
2002-04-03,20.940000534057617
2002-04-04,21.030000686645508
2002-04-05,20.700000762939453
2002-04-08,20.600000381469727
2002-04-09,20.079999923706055
2002-04-10,20.139999389648438
2002-04-11,19.469999313354492
2002-04-12,19.799999237060547
2002-04-15,19.850000381469727
2002-04-16,20.75
2002-04-17,20.829999923706055
2002-04-18,20.610000610351562
2002-04-19,20.549999237060547
2002-04-22,20.040000915527344
2002-04-23,19.6299991607666
2002-04-24,19.329999923706055
2002-04-25,19.459999084472656
2002-04-26,18.799999237060547
2002-04-29,18.68000030517578
2002-04-30,19.049999237060547
2002-05-01,18.889999389648438
2002-05-02,18.40999984741211
2002-05-03,17.969999313354492
2002-05-06,17.459999084472656
2002-05-07,17.459999084472656
2002-05-08,19.270000457763672
2002-05-09,18.639999389648438
2002-05-10,18.0
2002-05-13,18.709999084472656
2002-05-14,19.610000610351562
2002-05-15,19.549999237060547
2002-05-16,19.84000015258789
2002-05-17,19.940000534057617
2002-05-20,19.420000076293945
2002-05-21,18.940000534057617
2002-05-22,19.170000076293945
2002-05-23,19.31999969482422
2002-05-24,18.899999618530273
2002-05-28,18.729999542236328
2002-05-29,18.3799991607666
