Date,RCL
2003-09-08,30.950000762939453
2003-09-09,29.989999771118164
2003-09-10,29.3700008392334
2003-09-11,29.670000076293945
2003-09-12,30.350000381469727
2003-09-15,30.799999237060547
2003-09-16,31.75
2003-09-17,31.020000457763672
2003-09-18,32.15999984741211
2003-09-19,32.290000915527344
2003-09-22,31.530000686645508
2003-09-23,31.809999465942383
2003-09-24,30.670000076293945
2003-09-25,30.15999984741211
2003-09-26,28.530000686645508
2003-09-29,28.979999542236328
2003-09-30,28.110000610351562
2003-10-01,29.049999237060547
2003-10-02,29.389999389648438
2003-10-03,29.510000228881836
2003-10-06,29.770000457763672
2003-10-07,29.81999969482422
2003-10-08,29.950000762939453
2003-10-09,30.889999389648438
2003-10-10,31.1200008392334
2003-10-13,30.860000610351562
2003-10-14,31.190000534057617
2003-10-15,30.989999771118164
2003-10-16,31.6200008392334
2003-10-17,31.09000015258789
2003-10-20,31.479999542236328
2003-10-21,31.600000381469727
2003-10-22,31.1200008392334
2003-10-23,31.149999618530273
2003-10-24,30.360000610351562
2003-10-27,30.6200008392334
2003-10-28,30.100000381469727
2003-10-29,30.0
2003-10-30,29.799999237060547
2003-10-31,29.709999084472656
2003-11-03,30.0
2003-11-04,29.739999771118164
2003-11-05,29.43000030517578
2003-11-06,29.700000762939453
2003-11-07,29.979999542236328
2003-11-10,29.239999771118164
2003-11-11,28.360000610351562
2003-11-12,28.75
2003-11-13,28.889999389648438
2003-11-14,28.90999984741211
2003-11-17,28.43000030517578
2003-11-18,28.280000686645508
2003-11-19,28.010000228881836
2003-11-20,27.31999969482422
2003-11-21,28.600000381469727
2003-11-24,29.489999771118164
2003-11-25,30.010000228881836
2003-11-26,30.280000686645508
2003-11-28,30.270000457763672
2003-12-01,30.950000762939453
2003-12-02,30.690000534057617
2003-12-03,30.65999984741211
2003-12-04,30.010000228881836
2003-12-05,29.81999969482422
2003-12-08,30.09000015258789
2003-12-09,31.110000610351562
2003-12-10,31.700000762939453
2003-12-11,33.08000183105469
2003-12-12,33.25
2003-12-15,33.08000183105469
2003-12-16,33.5
2003-12-17,33.84000015258789
2003-12-18,34.279998779296875
2003-12-19,34.16999816894531
2003-12-22,34.72999954223633
2003-12-23,34.59000015258789
2003-12-24,34.599998474121094
2003-12-26,34.880001068115234
2003-12-29,34.91999816894531
2003-12-30,34.689998626708984
2003-12-31,34.790000915527344
2004-01-02,34.9900016784668
2004-01-05,36.119998931884766
2004-01-06,36.09000015258789
2004-01-07,36.650001525878906
2004-01-08,36.75
2004-01-09,37.16999816894531
2004-01-12,37.150001525878906
2004-01-13,37.209999084472656
2004-01-14,37.849998474121094
2004-01-15,38.91999816894531
2004-01-16,39.310001373291016
2004-01-20,39.70000076293945
2004-01-21,39.95000076293945
2004-01-22,40.54999923706055
2004-01-23,40.38999938964844
2004-01-26,40.099998474121094
2004-01-27,39.79999923706055
2004-01-28,38.88999938964844
2004-01-29,41.209999084472656
2004-01-30,42.369998931884766
2004-02-02,42.310001373291016
2004-02-03,41.11000061035156
2004-02-04,40.619998931884766
2004-02-05,40.52000045776367
