Date,XLU
2001-01-22,31.1875
2001-01-23,31.15625
2001-01-24,31.203125
2001-01-25,31.421875
2001-01-26,31.125
2001-01-29,31.610000610351562
2001-01-30,31.610000610351562
2001-01-31,31.31999969482422
2001-02-01,31.700000762939453
2001-02-02,31.350000381469727
2001-02-05,31.579999923706055
2001-02-06,31.770000457763672
2001-02-07,31.780000686645508
2001-02-08,32.060001373291016
2001-02-09,32.02000045776367
2001-02-12,32.04999923706055
2001-02-13,32.31999969482422
2001-02-14,31.780000686645508
2001-02-15,31.829999923706055
2001-02-16,32.0099983215332
2001-02-20,32.15999984741211
2001-02-21,31.780000686645508
2001-02-22,32.119998931884766
2001-02-23,31.940000534057617
2001-02-26,32.29999923706055
2001-02-27,32.34000015258789
2001-02-28,31.969999313354492
2001-03-01,31.6200008392334
2001-03-02,31.700000762939453
2001-03-05,31.639999389648438
2001-03-06,31.600000381469727
2001-03-07,31.450000762939453
2001-03-08,32.040000915527344
2001-03-09,31.479999542236328
2001-03-12,31.84000015258789
2001-03-13,31.100000381469727
2001-03-14,30.030000686645508
2001-03-15,30.559999465942383
2001-03-16,30.100000381469727
2001-03-19,30.479999542236328
2001-03-20,30.040000915527344
2001-03-21,29.3700008392334
2001-03-22,29.0
2001-03-23,28.950000762939453
2001-03-26,29.90999984741211
2001-03-27,31.010000228881836
2001-03-28,30.350000381469727
2001-03-29,31.059999465942383
2001-03-30,31.290000915527344
2001-04-02,31.389999389648438
2001-04-03,31.239999771118164
2001-04-04,31.360000610351562
2001-04-05,31.149999618530273
2001-04-06,30.56999969482422
2001-04-09,31.239999771118164
2001-04-10,31.889999389648438
2001-04-11,31.459999084472656
2001-04-12,31.440000534057617
2001-04-16,31.940000534057617
2001-04-17,32.68000030517578
2001-04-18,32.0
2001-04-19,32.060001373291016
2001-04-20,31.68000030517578
2001-04-23,31.75
2001-04-24,31.899999618530273
2001-04-25,32.459999084472656
2001-04-26,32.75
2001-04-27,32.77000045776367
2001-04-30,32.79999923706055
2001-05-01,33.11000061035156
2001-05-02,32.689998626708984
2001-05-03,32.27000045776367
2001-05-04,32.599998474121094
2001-05-07,32.77000045776367
2001-05-08,32.29999923706055
2001-05-09,32.349998474121094
2001-05-10,32.369998931884766
2001-05-11,32.38999938964844
2001-05-14,32.81999969482422
2001-05-15,32.599998474121094
2001-05-16,33.29999923706055
2001-05-17,33.099998474121094
2001-05-18,33.29999923706055
2001-05-21,33.41999816894531
2001-05-22,33.29999923706055
2001-05-23,33.290000915527344
2001-05-24,33.20000076293945
2001-05-25,32.68000030517578
2001-05-29,32.65999984741211
2001-05-30,32.52000045776367
2001-05-31,33.029998779296875
2001-06-01,32.75
2001-06-04,32.77000045776367
2001-06-05,32.290000915527344
2001-06-06,32.029998779296875
2001-06-07,31.760000228881836
2001-06-08,31.8799991607666
2001-06-11,32.18000030517578
2001-06-12,32.459999084472656
2001-06-13,31.790000915527344
2001-06-14,30.850000381469727
2001-06-15,30.81999969482422
2001-06-18,30.860000610351562
2001-06-19,30.979999542236328
2001-06-20,31.059999465942383
2001-06-21,30.25
2001-06-22,30.59000015258789
2001-06-25,30.229999542236328
2001-06-26,30.68000030517578
2001-06-27,30.75
2001-06-28,30.81999969482422
2001-06-29,31.149999618530273
2001-07-02,31.239999771118164
2001-07-03,31.31999969482422
2001-07-05,31.579999923706055
2001-07-06,31.549999237060547
2001-07-09,31.84000015258789
2001-07-10,31.889999389648438
2001-07-11,32.040000915527344
2001-07-12,31.709999084472656
2001-07-13,31.6299991607666
2001-07-16,31.850000381469727
2001-07-17,31.899999618530273
2001-07-18,31.56999969482422
2001-07-19,31.770000457763672
2001-07-20,31.100000381469727
2001-07-23,30.25
2001-07-24,29.3799991607666
2001-07-25,30.68000030517578
2001-07-26,30.790000915527344
2001-07-27,30.770000457763672
2001-07-30,31.1200008392334
2001-07-31,30.8700008392334
2001-08-01,31.229999542236328
2001-08-02,31.18000030517578
2001-08-03,31.09000015258789
2001-08-06,30.489999771118164
2001-08-07,30.729999542236328
2001-08-08,30.1200008392334
2001-08-09,30.170000076293945
2001-08-10,30.760000228881836
2001-08-13,30.420000076293945
2001-08-14,30.420000076293945
2001-08-15,30.040000915527344
2001-08-16,30.3700008392334
2001-08-17,30.0
2001-08-20,30.239999771118164
2001-08-21,30.25
2001-08-22,30.200000762939453
2001-08-23,30.1299991607666
2001-08-24,30.34000015258789
2001-08-27,30.420000076293945
2001-08-28,30.280000686645508
2001-08-29,30.100000381469727
2001-08-30,29.75
2001-08-31,29.770000457763672
2001-09-04,30.079999923706055
2001-09-05,29.899999618530273
2001-09-06,29.670000076293945
2001-09-07,29.6299991607666
2001-09-10,30.1200008392334
2001-09-17,29.850000381469727
2001-09-18,30.059999465942383
2001-09-19,29.829999923706055
2001-09-20,30.209999084472656
2001-09-21,29.1299991607666
2001-09-24,29.229999542236328
2001-09-25,29.670000076293945
2001-09-26,28.959999084472656
2001-09-27,28.600000381469727
2001-09-28,29.260000228881836
2001-10-01,29.510000228881836
2001-10-02,29.829999923706055
2001-10-03,30.149999618530273
2001-10-04,29.850000381469727
2001-10-05,29.90999984741211
2001-10-08,30.190000534057617
2001-10-09,30.040000915527344
2001-10-10,30.100000381469727
2001-10-11,29.65999984741211
2001-10-12,29.459999084472656
2001-10-15,29.40999984741211
2001-10-16,29.6299991607666
2001-10-17,29.600000381469727
2001-10-18,29.030000686645508
2001-10-19,29.530000686645508
2001-10-22,28.969999313354492
2001-10-23,28.229999542236328
2001-10-24,27.979999542236328
2001-10-25,28.170000076293945
2001-10-26,28.260000228881836
2001-10-29,28.209999084472656
2001-10-30,27.790000915527344
2001-10-31,27.719999313354492
2001-11-01,27.950000762939453
2001-11-02,28.059999465942383
2001-11-05,28.329999923706055
2001-11-06,28.450000762939453
2001-11-07,28.079999923706055
2001-11-08,28.459999084472656
2001-11-09,28.639999389648438
2001-11-12,28.540000915527344
