Date,PLUG
2001-08-17,108.80000305175781
2001-08-20,103.5
2001-08-21,103.19999694824219
2001-08-22,103.80000305175781
2001-08-23,102.19999694824219
2001-08-24,105.5
2001-08-27,109.4000015258789
2001-08-28,101.19999694824219
2001-08-29,100.0
2001-08-30,94.5999984741211
2001-08-31,99.69999694824219
2001-09-04,97.0
2001-09-05,93.5999984741211
2001-09-06,91.19999694824219
2001-09-07,91.0999984741211
2001-09-10,97.80000305175781
2001-09-17,90.80000305175781
2001-09-18,89.0
2001-09-19,76.4000015258789
2001-09-20,67.0
2001-09-21,77.30000305175781
2001-09-24,99.19999694824219
2001-09-25,101.80000305175781
2001-09-26,99.9000015258789
2001-09-27,97.80000305175781
2001-09-28,96.19999694824219
2001-10-01,95.0
2001-10-02,97.5999984741211
2001-10-03,100.0
2001-10-04,95.5999984741211
2001-10-05,97.9000015258789
2001-10-08,93.4000015258789
2001-10-09,90.9000015258789
2001-10-10,92.5
2001-10-11,95.0
2001-10-12,93.5
2001-10-15,90.4000015258789
2001-10-16,90.19999694824219
2001-10-17,87.9000015258789
2001-10-18,83.80000305175781
2001-10-19,80.0999984741211
2001-10-22,80.4000015258789
2001-10-23,80.30000305175781
2001-10-24,76.5999984741211
2001-10-25,75.30000305175781
2001-10-26,93.0
2001-10-29,82.0
2001-10-30,75.69999694824219
2001-10-31,83.0
2001-11-01,83.0
2001-11-02,82.0
2001-11-05,85.5
2001-11-06,82.5
2001-11-07,84.0
2001-11-08,83.5999984741211
2001-11-09,83.19999694824219
2001-11-12,84.9000015258789
2001-11-13,85.30000305175781
2001-11-14,85.30000305175781
2001-11-15,100.19999694824219
2001-11-16,96.5
2001-11-19,93.69999694824219
2001-11-20,93.30000305175781
2001-11-21,90.80000305175781
2001-11-23,92.4000015258789
2001-11-26,90.5
2001-11-27,91.0
2001-11-28,85.0
2001-11-29,87.5
2001-11-30,86.5
2001-12-03,84.0999984741211
2001-12-04,82.69999694824219
2001-12-05,84.9000015258789
2001-12-06,84.69999694824219
2001-12-07,82.4000015258789
2001-12-10,82.0
2001-12-11,80.0
2001-12-12,79.80000305175781
2001-12-13,78.69999694824219
2001-12-14,76.0999984741211
2001-12-17,75.5
2001-12-18,82.30000305175781
2001-12-19,81.0
2001-12-20,78.5
2001-12-21,78.5
2001-12-24,78.5999984741211
2001-12-26,77.5
2001-12-27,90.80000305175781
2001-12-28,88.5
2001-12-31,87.4000015258789
2002-01-02,86.0
2002-01-03,90.69999694824219
2002-01-04,89.9000015258789
2002-01-07,86.5999984741211
2002-01-08,120.4000015258789
2002-01-09,105.0
2002-01-10,100.5999984741211
2002-01-11,105.80000305175781
2002-01-14,96.5
2002-01-15,92.5999984741211
2002-01-16,96.0
2002-01-17,101.0
2002-01-18,97.30000305175781
2002-01-22,99.5999984741211
2002-01-23,100.5999984741211
2002-01-24,102.69999694824219
2002-01-25,99.5
2002-01-28,96.5999984741211
2002-01-29,97.69999694824219
2002-01-30,96.19999694824219
2002-01-31,98.0999984741211
2002-02-01,112.0
2002-02-04,99.80000305175781
2002-02-05,94.30000305175781
2002-02-06,90.0
2002-02-07,88.5
2002-02-08,86.5
2002-02-11,89.5
2002-02-12,91.30000305175781
2002-02-13,98.0
2002-02-14,89.0999984741211
2002-02-15,88.69999694824219
2002-02-19,87.0999984741211
2002-02-20,84.5999984741211
2002-02-21,91.0999984741211
2002-02-22,86.19999694824219
2002-02-25,86.0
2002-02-26,87.5999984741211
2002-02-27,88.5
2002-02-28,86.5999984741211
2002-03-01,88.0999984741211
2002-03-04,94.69999694824219
2002-03-05,93.69999694824219
2002-03-06,94.30000305175781
2002-03-07,98.4000015258789
2002-03-08,100.4000015258789
2002-03-11,97.9000015258789
2002-03-12,100.30000305175781
2002-03-13,103.9000015258789
2002-03-14,101.69999694824219
2002-03-15,99.5
2002-03-18,101.0999984741211
2002-03-19,103.9000015258789
2002-03-20,102.4000015258789
2002-03-21,100.80000305175781
2002-03-22,101.30000305175781
2002-03-25,99.9000015258789
2002-03-26,100.0999984741211
2002-03-27,107.80000305175781
2002-03-28,103.69999694824219
2002-04-01,101.80000305175781
2002-04-02,111.0
2002-04-03,108.30000305175781
2002-04-04,106.0
2002-04-05,102.30000305175781
2002-04-08,106.30000305175781
2002-04-09,107.80000305175781
2002-04-10,105.5999984741211
2002-04-11,103.0
2002-04-12,102.5999984741211
2002-04-15,101.0
2002-04-16,108.69999694824219
2002-04-17,111.69999694824219
2002-04-18,106.0
2002-04-19,108.30000305175781
2002-04-22,116.9000015258789
2002-04-23,118.4000015258789
2002-04-24,119.4000015258789
2002-04-25,120.0
2002-04-26,111.0
2002-04-29,101.80000305175781
2002-04-30,104.5999984741211
2002-05-01,106.30000305175781
2002-05-02,108.0
2002-05-03,105.4000015258789
2002-05-06,102.30000305175781
2002-05-07,94.9000015258789
2002-05-08,101.0
2002-05-09,97.69999694824219
2002-05-10,96.0
2002-05-13,100.5
2002-05-14,106.30000305175781
2002-05-15,104.4000015258789
2002-05-16,102.30000305175781
2002-05-17,105.5
2002-05-20,101.5999984741211
2002-05-21,97.0
2002-05-22,92.5999984741211
2002-05-23,93.69999694824219
2002-05-24,91.5999984741211
2002-05-28,92.69999694824219
2002-05-29,90.5999984741211
2002-05-30,86.5999984741211
2002-05-31,86.5
2002-06-03,86.0999984741211
2002-06-04,84.0
2002-06-05,75.0
2002-06-06,71.30000305175781
2002-06-07,76.19999694824219
2002-06-10,75.0
2002-06-11,69.9000015258789
2002-06-12,69.9000015258789
2002-06-13,70.0
2002-06-14,70.0
2002-06-17,69.19999694824219
2002-06-18,75.19999694824219
2002-06-19,75.5999984741211
2002-06-20,77.4000015258789
2002-06-21,75.0999984741211
2002-06-24,70.69999694824219
2002-06-25,70.80000305175781
2002-06-26,71.4000015258789
2002-06-27,76.0
2002-06-28,79.0999984741211
2002-07-01,75.19999694824219
2002-07-02,75.30000305175781
2002-07-03,70.0999984741211
2002-07-05,75.0
2002-07-08,74.5999984741211
2002-07-09,73.4000015258789
2002-07-10,71.30000305175781
2002-07-11,70.0
2002-07-12,69.0999984741211
2002-07-15,66.4000015258789
2002-07-16,65.80000305175781
2002-07-17,66.9000015258789
2002-07-18,65.0999984741211
2002-07-19,61.5
2002-07-22,54.79999923706055
2002-07-23,48.400001525878906
2002-07-24,50.0
2002-07-25,50.20000076293945
2002-07-26,51.400001525878906
2002-07-29,55.79999923706055
2002-07-30,55.099998474121094
2002-07-31,55.099998474121094
2002-08-01,53.599998474121094
2002-08-02,47.599998474121094
2002-08-05,46.20000076293945
2002-08-06,49.5
2002-08-07,52.099998474121094
2002-08-08,51.599998474121094
2002-08-09,53.70000076293945
2002-08-12,58.400001525878906
2002-08-13,59.20000076293945
2002-08-14,62.5
2002-08-15,61.29999923706055
2002-08-16,61.0
2002-08-19,61.5
2002-08-20,61.29999923706055
2002-08-21,60.0
2002-08-22,61.79999923706055
2002-08-23,60.099998474121094
2002-08-26,61.0
2002-08-27,59.0
2002-08-28,57.5
2002-08-29,58.29999923706055
2002-08-30,58.79999923706055
2002-09-03,58.400001525878906
2002-09-04,59.0
2002-09-05,58.0
2002-09-06,58.0
2002-09-09,56.20000076293945
2002-09-10,59.099998474121094
2002-09-11,61.0
2002-09-12,61.099998474121094
2002-09-13,62.20000076293945
2002-09-16,61.29999923706055
2002-09-17,58.29999923706055
2002-09-18,56.900001525878906
2002-09-19,55.599998474121094
2002-09-20,54.0
2002-09-23,51.70000076293945
2002-09-24,50.0
2002-09-25,52.400001525878906
2002-09-26,52.70000076293945
2002-09-27,52.099998474121094
2002-09-30,47.79999923706055
2002-10-01,47.900001525878906
2002-10-02,47.79999923706055
2002-10-03,47.5
2002-10-04,41.70000076293945
2002-10-07,34.400001525878906
2002-10-08,34.5
2002-10-09,34.70000076293945
2002-10-10,40.0
2002-10-11,42.20000076293945
2002-10-14,44.5
2002-10-15,49.70000076293945
2002-10-16,46.70000076293945
2002-10-17,52.900001525878906
2002-10-18,52.5
2002-10-21,53.79999923706055
2002-10-22,51.599998474121094
2002-10-23,53.400001525878906
2002-10-24,54.099998474121094
2002-10-25,52.70000076293945
2002-10-28,55.099998474121094
2002-10-29,64.80000305175781
2002-10-30,67.5
2002-10-31,62.79999923706055
2002-11-01,60.0
2002-11-04,60.70000076293945
2002-11-05,59.900001525878906
2002-11-06,60.5
2002-11-07,55.29999923706055
2002-11-08,56.79999923706055
2002-11-11,55.0
2002-11-12,51.099998474121094
2002-11-13,53.5
2002-11-14,54.0
2002-11-15,52.900001525878906
2002-11-18,53.599998474121094
2002-11-19,53.20000076293945
2002-11-20,56.099998474121094
2002-11-21,58.29999923706055
2002-11-22,59.70000076293945
2002-11-25,64.0
2002-11-26,65.9000015258789
2002-11-27,69.80000305175781
2002-11-29,70.0999984741211
2002-12-02,65.0
2002-12-03,59.5
2002-12-04,55.5
2002-12-05,56.20000076293945
2002-12-06,56.900001525878906
2002-12-09,52.79999923706055
2002-12-10,57.0
2002-12-11,56.900001525878906
2002-12-12,55.79999923706055
2002-12-13,55.099998474121094
2002-12-16,56.70000076293945
2002-12-17,55.29999923706055
2002-12-18,51.79999923706055
2002-12-19,50.70000076293945
2002-12-20,50.0
2002-12-23,50.400001525878906
2002-12-24,50.0
2002-12-26,47.29999923706055
2002-12-27,46.099998474121094
2002-12-30,45.29999923706055
2002-12-31,44.900001525878906
2003-01-02,47.29999923706055
2003-01-03,48.0
2003-01-06,51.0
2003-01-07,51.5
2003-01-08,50.5
2003-01-09,51.900001525878906
2003-01-10,50.099998474121094
2003-01-13,48.0
2003-01-14,48.900001525878906
2003-01-15,47.79999923706055
2003-01-16,45.79999923706055
2003-01-17,44.400001525878906
2003-01-21,42.0
2003-01-22,41.599998474121094
2003-01-23,44.099998474121094
2003-01-24,42.70000076293945
2003-01-27,40.5
2003-01-28,53.900001525878906
2003-01-29,52.900001525878906
2003-01-30,52.099998474121094
2003-01-31,51.29999923706055
2003-02-03,50.29999923706055
2003-02-04,47.20000076293945
2003-02-05,48.0
2003-02-06,52.29999923706055
2003-02-07,50.5
2003-02-10,50.29999923706055
2003-02-11,51.29999923706055
2003-02-12,51.900001525878906
2003-02-13,49.900001525878906
2003-02-14,51.0
2003-02-18,51.5
2003-02-19,53.900001525878906
2003-02-20,53.599998474121094
2003-02-21,54.0
2003-02-24,54.70000076293945
2003-02-25,57.099998474121094
2003-02-26,53.0
2003-02-27,54.5
2003-02-28,53.5
2003-03-03,53.79999923706055
2003-03-04,51.599998474121094
2003-03-05,50.599998474121094
2003-03-06,50.0
2003-03-07,51.099998474121094
2003-03-10,50.900001525878906
2003-03-11,50.400001525878906
2003-03-12,50.0
2003-03-13,50.29999923706055
2003-03-14,49.5
2003-03-17,48.900001525878906
2003-03-18,51.20000076293945
2003-03-19,51.0
2003-03-20,50.599998474121094
2003-03-21,50.29999923706055
2003-03-24,50.0
2003-03-25,52.900001525878906
2003-03-26,51.70000076293945
2003-03-27,51.5
2003-03-28,49.5
2003-03-31,50.599998474121094
2003-04-01,48.70000076293945
2003-04-02,51.0
2003-04-03,49.29999923706055
2003-04-04,48.79999923706055
2003-04-07,50.099998474121094
2003-04-08,50.900001525878906
2003-04-09,50.400001525878906
2003-04-10,49.900001525878906
2003-04-11,49.099998474121094
2003-04-14,49.599998474121094
2003-04-15,49.400001525878906
2003-04-16,48.900001525878906
2003-04-17,49.0
2003-04-21,48.5
2003-04-22,49.599998474121094
2003-04-23,49.79999923706055
2003-04-24,50.5
2003-04-25,50.79999923706055
2003-04-28,51.900001525878906
2003-04-29,51.29999923706055
2003-04-30,50.70000076293945
2003-05-01,50.099998474121094
2003-05-02,50.900001525878906
2003-05-05,50.099998474121094
2003-05-06,50.900001525878906
2003-05-07,51.29999923706055
2003-05-08,52.900001525878906
2003-05-09,50.900001525878906
2003-05-12,50.900001525878906
2003-05-13,50.5
2003-05-14,59.20000076293945
2003-05-15,54.29999923706055
2003-05-16,53.900001525878906
2003-05-19,52.599998474121094
2003-05-20,51.20000076293945
2003-05-21,50.20000076293945
2003-05-22,50.20000076293945
2003-05-23,50.79999923706055
2003-05-27,52.900001525878906
2003-05-28,54.400001525878906
2003-05-29,53.900001525878906
2003-05-30,54.29999923706055
2003-06-02,53.400001525878906
2003-06-03,54.5
2003-06-04,56.0
2003-06-05,55.900001525878906
2003-06-06,55.400001525878906
2003-06-09,53.20000076293945
2003-06-10,54.5
2003-06-11,53.599998474121094
2003-06-12,53.0
2003-06-13,51.099998474121094
2003-06-16,52.20000076293945
2003-06-17,52.599998474121094
2003-06-18,51.400001525878906
2003-06-19,50.79999923706055
2003-06-20,50.79999923706055
2003-06-23,49.70000076293945
2003-06-24,48.29999923706055
2003-06-25,48.099998474121094
2003-06-26,48.5
