Date,XLY
2001-11-08,25.940000534057617
2001-11-09,25.799999237060547
2001-11-12,25.889999389648438
2001-11-13,26.549999237060547
2001-11-14,27.149999618530273
2001-11-15,27.149999618530273
2001-11-16,26.850000381469727
2001-11-19,27.739999771118164
2001-11-20,27.399999618530273
2001-11-21,27.139999389648438
2001-11-23,27.450000762939453
2001-11-26,27.670000076293945
2001-11-27,27.170000076293945
2001-11-28,27.0
2001-11-29,27.190000534057617
2001-11-30,27.399999618530273
2001-12-03,27.0
2001-12-04,27.600000381469727
2001-12-05,28.420000076293945
2001-12-06,28.100000381469727
2001-12-07,28.110000610351562
2001-12-10,27.739999771118164
2001-12-11,27.549999237060547
2001-12-12,27.600000381469727
2001-12-13,27.290000915527344
2001-12-14,27.510000228881836
2001-12-17,27.809999465942383
2001-12-18,28.100000381469727
2001-12-19,28.239999771118164
2001-12-20,28.06999969482422
2001-12-21,28.43000030517578
2001-12-24,28.530000686645508
2001-12-26,28.799999237060547
2001-12-27,28.829999923706055
2001-12-28,29.040000915527344
2001-12-31,28.600000381469727
2002-01-02,28.690000534057617
2002-01-03,28.600000381469727
2002-01-04,29.06999969482422
2002-01-07,28.899999618530273
2002-01-08,29.0
2002-01-09,28.600000381469727
2002-01-10,28.799999237060547
2002-01-11,28.260000228881836
2002-01-14,28.049999237060547
2002-01-15,28.229999542236328
2002-01-16,27.75
2002-01-17,28.079999923706055
2002-01-18,28.0
2002-01-22,28.18000030517578
2002-01-23,28.790000915527344
2002-01-24,28.799999237060547
2002-01-25,28.5
2002-01-28,28.989999771118164
2002-01-29,28.3799991607666
2002-01-30,29.100000381469727
2002-01-31,29.540000915527344
2002-02-01,29.239999771118164
2002-02-04,28.75
2002-02-05,28.719999313354492
2002-02-06,28.489999771118164
2002-02-07,28.149999618530273
2002-02-08,28.399999618530273
2002-02-11,29.25
2002-02-12,29.0
2002-02-13,29.43000030517578
2002-02-14,29.540000915527344
2002-02-15,29.200000762939453
2002-02-19,28.860000610351562
2002-02-20,29.43000030517578
2002-02-21,29.149999618530273
2002-02-22,29.190000534057617
2002-02-25,29.68000030517578
2002-02-26,30.0
2002-02-27,29.950000762939453
2002-02-28,29.700000762939453
2002-03-01,29.979999542236328
2002-03-04,30.43000030517578
2002-03-05,29.540000915527344
2002-03-06,29.950000762939453
2002-03-07,30.18000030517578
2002-03-08,30.350000381469727
2002-03-11,30.209999084472656
2002-03-12,30.270000457763672
2002-03-13,30.200000762939453
2002-03-14,30.200000762939453
2002-03-15,30.549999237060547
2002-03-18,30.559999465942383
2002-03-19,30.690000534057617
2002-03-20,30.56999969482422
2002-03-21,30.190000534057617
2002-03-22,30.049999237060547
2002-03-25,29.5
2002-03-26,29.899999618530273
2002-03-27,30.100000381469727
2002-03-28,30.040000915527344
2002-04-01,29.479999542236328
2002-04-02,28.950000762939453
2002-04-03,28.729999542236328
2002-04-04,29.1200008392334
2002-04-05,29.299999237060547
2002-04-08,29.739999771118164
2002-04-09,29.950000762939453
2002-04-10,30.299999237060547
2002-04-11,29.84000015258789
2002-04-12,30.450000762939453
2002-04-15,29.989999771118164
2002-04-16,30.43000030517578
2002-04-17,30.1200008392334
2002-04-18,29.920000076293945
2002-04-19,30.049999237060547
2002-04-22,29.760000228881836
2002-04-23,29.809999465942383
2002-04-24,29.549999237060547
2002-04-25,29.6299991607666
2002-04-26,29.450000762939453
2002-04-29,29.1299991607666
2002-04-30,29.200000762939453
2002-05-01,29.360000610351562
2002-05-02,29.6299991607666
2002-05-03,29.229999542236328
2002-05-06,28.700000762939453
2002-05-07,29.1200008392334
2002-05-08,29.549999237060547
2002-05-09,29.100000381469727
2002-05-10,28.6200008392334
2002-05-13,28.93000030517578
2002-05-14,29.959999084472656
2002-05-15,29.780000686645508
2002-05-16,30.0
2002-05-17,30.25
2002-05-20,30.149999618530273
2002-05-21,29.399999618530273
2002-05-22,29.270000457763672
2002-05-23,29.549999237060547
2002-05-24,29.31999969482422
2002-05-28,28.860000610351562
2002-05-29,28.799999237060547
2002-05-30,28.549999237060547
2002-05-31,29.049999237060547
2002-06-03,28.280000686645508
2002-06-04,28.1200008392334
2002-06-05,28.700000762939453
2002-06-06,28.25
2002-06-07,28.280000686645508
2002-06-10,28.75
2002-06-11,28.600000381469727
2002-06-12,28.84000015258789
2002-06-13,28.18000030517578
2002-06-14,28.0
2002-06-17,28.739999771118164
2002-06-18,28.649999618530273
2002-06-19,28.530000686645508
2002-06-20,28.110000610351562
2002-06-21,27.6200008392334
2002-06-24,27.920000076293945
2002-06-25,27.450000762939453
2002-06-26,27.200000762939453
2002-06-27,27.360000610351562
