Date,RDFN
2018-04-30,21.399999618530273
2018-05-01,21.639999389648438
2018-05-02,22.010000228881836
2018-05-03,21.84000015258789
2018-05-04,22.0
2018-05-07,22.559999465942383
2018-05-08,22.790000915527344
2018-05-09,23.079999923706055
2018-05-10,22.979999542236328
2018-05-11,22.940000534057617
2018-05-14,22.010000228881836
2018-05-15,21.459999084472656
2018-05-16,21.940000534057617
2018-05-17,22.020000457763672
2018-05-18,22.020000457763672
2018-05-21,22.0
2018-05-22,22.149999618530273
2018-05-23,22.209999084472656
2018-05-24,22.030000686645508
2018-05-25,21.729999542236328
2018-05-29,21.969999313354492
2018-05-30,22.690000534057617
2018-05-31,22.100000381469727
2018-06-01,21.6200008392334
2018-06-04,22.110000610351562
2018-06-05,22.809999465942383
2018-06-06,22.969999313354492
