,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
54,2022-07-13,Minnesota is ranked #9 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Tim Walz, Democrat
Population: 5,707,390
GDP growth (Q1 2022): -2.0%
Unemployment rate (May 2022): 2%
Top corporate tax rate: 9.8%
Top individual income tax rate: 9.85%
Gasoline tax: … [+356 chars]",9. Minnesota,https://www.cnbc.com/2022/07/13/top-states-for-business-minnesota.html,0.0,0.0,1.0,0.0,0,0.3182,0.172,0.748,0.08,1,"['Governor', 'Tim', 'Walz', 'Democrat', 'Population', '5,707,390', 'GDP', 'growth', 'Q1', '2022', '-2.0', 'Unemployment', 'rate', 'May', '2022', '2', 'Top', 'corporate', 'tax', 'rate', '9.8', 'Top', 'individual', 'income', 'tax', 'rate', '9.85', 'Gasoline', 'tax', '+356']"
55,2022-07-13,Florida is ranked #11 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Ron DeSantis, Republican
Population: 21,781,128
GDP growth (Q1 2022): -1.3%
Unemployment rate (May 2022): 3%
Top corporate tax rate: 5.5%
Top individual income tax rate: None
Gasoline… [+361 chars]",11. Florida,https://www.cnbc.com/2022/07/13/top-states-for-business-2022-florida.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Ron', 'DeSantis', 'Republican', 'Population', '21,781,128', 'GDP', 'growth', 'Q1', '2022', '-1.3', 'Unemployment', 'rate', 'May', '2022', '3', 'Top', 'corporate', 'tax', 'rate', '5.5', 'Top', 'individual', 'income', 'tax', 'rate', 'None', 'Gasoline…', '+361']"
56,2022-07-13,North Carolina is ranked #1 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Roy Cooper, Democrat
Population: 10,551,162
GDP growth (Q1 2022): -1.4%
Unemployment rate (May 2022): 3.4%
Top corporate tax rate: 2.5%
Top individual income tax rate: 4.99%
Gasoline … [+359 chars]",1. North Carolina,https://www.cnbc.com/2022/07/13/top-states-for-business-north-carolina.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Roy', 'Cooper', 'Democrat', 'Population', '10,551,162', 'GDP', 'growth', 'Q1', '2022', '-1.4', 'Unemployment', 'rate', 'May', '2022', '3.4', 'Top', 'corporate', 'tax', 'rate', '2.5', 'Top', 'individual', 'income', 'tax', 'rate', '4.99', 'Gasoline', '+359']"
57,2022-06-21,"Welcome to The Dose, a weekly newsletter on cannabis and psychedelics. As governments from Albania to Thailand weigh new regulations around cannabis, Germany’s ideas about how to oversee recreational marijuana are making international waves.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}",You're reading The Dose newsletter.You're reading The Dose newsletter.You're reading The Dose newsletter.Follow the money as Tiffany Kary shows you how once-illegal drugs like marijuana and psychedel… [+5294 chars],Germany Eyes Potency Limits for Legal Recreational Marijuana,https://www.bloomberg.com/news/newsletters/2022-06-21/is-thc-level-a-sticking-point-for-german-legalization,0.128,0.176,0.824,0.0,1,0.3612,0.082,0.918,0.0,1,"[""'re"", 'reading', 'Dose', 'newsletter.You', ""'re"", 'reading', 'Dose', 'newsletter.You', ""'re"", 'reading', 'Dose', 'newsletter.Follow', 'money', 'Tiffany', 'Kary', 'show', 'once-illegal', 'drug', 'like', 'marijuana', 'psychedel…', '+5294']"
58,2022-07-04,"Welcome to The Readout, the new daily newsletter from Bloomberg UK.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Welcome to The Readout with Allegra Stratton.Welcome to The Readout with Allegra Stratton.Welcome to The Readout with Allegra Stratton.Sign up here to get it in your inbox daily.Sign up here to get i… [+5367 chars],Making Britain Work May Need Some Self-Destruction: The Readout,https://www.bloomberg.com/news/newsletters/2022-07-04/making-britain-work-may-need-some-self-destruction-the-readout,0.0,0.0,1.0,0.0,0,0.4588,0.081,0.919,0.0,1,"['Welcome', 'Readout', 'Allegra', 'Stratton.Welcome', 'Readout', 'Allegra', 'Stratton.Welcome', 'Readout', 'Allegra', 'Stratton.Sign', 'get', 'inbox', 'daily.Sign', 'get', 'i…', '+5367']"
59,2022-06-14,Stock selloff goes on. Coinbase to sack 18% of its workforce. China leads the world on pollution reduction. Here’s what you need to know today.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Stock selloff goes on. Coinbase to sack 18% of its workforce. China leads the world on pollution reduction. Heres what you need to know today.
Volatility continued to 
grip financial markets overni… [+4212 chars]",Five Things You Need to Know to Start Your Day,https://www.bloomberg.com/news/newsletters/2022-06-14/five-things-you-need-to-know-to-start-your-day-l4erya64,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,"['Stock', 'selloff', 'go', 'Coinbase', 'sack', '18', 'workforce', 'China', 'lead', 'world', 'pollution', 'reduction', 'Heres', 'need', 'know', 'today', 'Volatility', 'continued', 'grip', 'financial', 'market', 'overni…', '+4212']"
60,2022-06-24,Pump prices for gasoline and diesel are being supported by a shortage of oil refining capacity,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Anyone hoping that the recent slump in oil prices will bring a quick fix for rampant global inflation needs to think again. 
While Brent crude has shed 10% in the past few weeks, retail prices all o… [+4981 chars]",Oil's Dive Won't Bring Any Immediate Relief on Inflation,https://www.bloomberg.com/news/articles/2022-06-24/oil-s-dive-won-t-bring-any-immediate-relief-on-inflation,0.4767,0.279,0.721,0.0,1,-0.2263,0.066,0.847,0.087,-1,"['Anyone', 'hoping', 'recent', 'slump', 'oil', 'price', 'bring', 'quick', 'fix', 'rampant', 'global', 'inflation', 'need', 'think', 'Brent', 'crude', 'shed', '10', 'past', 'week', 'retail', 'price', 'o…', '+4981']"
61,2022-06-21,U.S. stock index futures were little changed during overnight trading Tuesday.,en,"{'id': None, 'name': 'CNBC'}","U.S. stock index futures were flat overnight Tuesday after the major averages jumped in regular trading hours, attempting to claw back some losses following weeks of selling.
Futures contracts tied … [+2316 chars]",Stock futures are flat after markets claw back some losses from weeks of selling,https://www.cnbc.com/2022/06/21/stock-market-futures-open-to-close-news.html,-0.4019,0.0,0.828,0.172,-1,-0.4019,0.0,0.92,0.08,-1,"['U.S.', 'stock', 'index', 'future', 'flat', 'overnight', 'Tuesday', 'major', 'average', 'jumped', 'regular', 'trading', 'hour', 'attempting', 'claw', 'back', 'loss', 'following', 'week', 'selling', 'Futures', 'contract', 'tied', '+2316']"
62,2022-07-13,Texas is ranked #5 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Greg Abbott, Republican
Population: 29,527,941
GDP growth (Q1 2022): -2.3%
Unemployment rate (May 2022): 4.2%
Top corporate tax rate: None (levies a gross receipts tax)
Top individual … [+388 chars]",5. Texas,https://www.cnbc.com/2022/07/13/top-states-for-business-texas.html,0.0,0.0,1.0,0.0,0,0.5932,0.246,0.673,0.081,1,"['Governor', 'Greg', 'Abbott', 'Republican', 'Population', '29,527,941', 'GDP', 'growth', 'Q1', '2022', '-2.3', 'Unemployment', 'rate', 'May', '2022', '4.2', 'Top', 'corporate', 'tax', 'rate', 'None', 'levy', 'gross', 'receipt', 'tax', 'Top', 'individual', '+388']"
63,2022-07-06,Piper Sandler Cos. agreed to buy DBO Partners to expand its technology investment-banking business.,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Piper Sandler Cos. agreed to buy 
DBO Partners to expand its technology investment-banking business. 
The addition of DBO significantly increases our presence and capabilities in the technology sec… [+1239 chars]",Piper Sandler to Acquire DBO Partners in Tech-Banking Expansion - Bloomberg,https://www.bloomberg.com/news/articles/2022-07-06/piper-sandler-to-acquire-dbo-partners-in-tech-banking-expansion,0.0,0.0,1.0,0.0,0,0.5267,0.136,0.864,0.0,1,"['Piper', 'Sandler', 'Cos.', 'agreed', 'buy', 'DBO', 'Partners', 'expand', 'technology', 'investment-banking', 'business', 'addition', 'DBO', 'significantly', 'increase', 'presence', 'capability', 'technology', 'sec…', '+1239']"
64,2022-06-21,"Dow futures jumped 400 points, or 1.4%, on Tuesday after a terrible week of selling.",en,"{'id': None, 'name': 'CNBC'}","Here are the most important news, trends and analysis that investors need to start their trading day:
1. Wall Street set to bounce after S&amp;P 500's worst seek since 2020
The sign for Wall Street… [+4675 chars]",5 things to know before the stock market opens Tuesday,https://www.cnbc.com/2022/06/21/5-things-to-know-before-the-stock-market-opens-tuesday-june-21.html,0.0,0.0,1.0,0.0,0,-0.4601,0.051,0.85,0.1,-1,"['important', 'news', 'trend', 'analysis', 'investor', 'need', 'start', 'trading', 'day', '1', 'Wall', 'Street', 'set', 'bounce', 'P', 'worst', 'seek', 'since', '2020', 'sign', 'Wall', 'Street…', '+4675']"
65,2022-06-23,Euro zone bond yields tumbled after data showed business activity in the bloc had slowed much more than expected in June.,en,"{'id': None, 'name': 'CNBC'}","Euro zone bond yields tumbled on Thursday after data showed business activity in the bloc had slowed much more than expected in June, adding to concerns over global growth that have shaken markets th… [+2258 chars]",Euro zone bond yields plunge as business activity data disappoints - CNBC,https://www.cnbc.com/2022/06/23/euro-zone-bond-yields-plunge-as-business-activity-data-disappoints.html,-0.3818,0.0,0.794,0.206,-1,0.3182,0.069,0.897,0.034,1,"['Euro', 'zone', 'bond', 'yield', 'tumbled', 'Thursday', 'data', 'showed', 'business', 'activity', 'bloc', 'slowed', 'much', 'expected', 'June', 'adding', 'concern', 'global', 'growth', 'shaken', 'market', 'th…', '+2258']"
66,2022-07-13,Washington is ranked #2 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Jay Inslee, Democrat
Population: 7,738,692
GDP growth (Q1 2022): -3.3%
Unemployment rate (May 2022): 3.9%
Top corporate tax rate: None (levies a gross receipts tax)
Top individual inco… [+575 chars]",2. Washington,https://www.cnbc.com/2022/07/13/top-states-for-business-washington.html,0.0,0.0,1.0,0.0,0,0.5932,0.239,0.682,0.079,1,"['Governor', 'Jay', 'Inslee', 'Democrat', 'Population', '7,738,692', 'GDP', 'growth', 'Q1', '2022', '-3.3', 'Unemployment', 'rate', 'May', '2022', '3.9', 'Top', 'corporate', 'tax', 'rate', 'None', 'levy', 'gross', 'receipt', 'tax', 'Top', 'individual', 'inco…', '+575']"
67,2022-06-17,More companies are showing concerns of a recession and preparing for a crypto winter.,en,"{'id': None, 'name': 'CNBC'}","Companies are showing concerns of a recession, and in the crypto space, many are preparing for a crypto winter.
Coinbase is laying off 18% of its workforce, or roughly 1,100 people, according to an … [+5093 chars]",Businesses are preparing for a crypto winter—here's what that means for you - CNBC,https://www.cnbc.com/2022/06/17/businesses-are-preparing-for-a-crypto-winterheres-what-that-means.html,0.0,0.0,1.0,0.0,0,-0.4215,0.0,0.922,0.078,-1,"['Companies', 'showing', 'concern', 'recession', 'crypto', 'space', 'many', 'preparing', 'crypto', 'winter', 'Coinbase', 'laying', '18', 'workforce', 'roughly', '1,100', 'people', 'according', '+5093']"
