Date,ELY
1993-03-11,6.0625
1993-03-12,6.140625
1993-03-15,6.390625
1993-03-16,6.59375
1993-03-17,6.625
1993-03-18,6.859375
1993-03-19,6.796875
1993-03-22,6.8125
1993-03-23,6.6875
1993-03-24,6.4375
1993-03-25,6.40625
1993-03-26,6.84375
1993-03-29,7.4375
1993-03-30,7.6875
1993-03-31,7.875
1993-04-01,8.0
1993-04-02,7.9375
1993-04-05,8.09375
1993-04-06,7.65625
1993-04-07,7.4375
1993-04-08,7.6875
1993-04-12,8.03125
1993-04-13,8.65625
1993-04-14,9.0
1993-04-15,8.65625
1993-04-16,8.21875
1993-04-19,8.15625
1993-04-20,8.0
1993-04-21,8.3125
1993-04-22,8.1875
1993-04-23,8.28125
1993-04-26,8.125
1993-04-27,8.25
1993-04-28,8.09375
1993-04-29,7.65625
1993-04-30,7.3125
1993-05-03,7.59375
1993-05-04,7.90625
1993-05-05,8.1875
1993-05-06,8.1875
1993-05-07,7.96875
1993-05-10,8.03125
1993-05-11,8.15625
1993-05-12,8.15625
1993-05-13,7.9375
1993-05-14,7.96875
1993-05-17,8.1875
1993-05-18,8.15625
1993-05-19,8.21875
1993-05-20,8.625
1993-05-21,8.53125
1993-05-24,8.5625
1993-05-25,8.625
1993-05-26,9.1875
1993-05-27,9.3125
1993-05-28,9.15625
1993-06-01,9.34375
1993-06-02,9.78125
1993-06-03,9.75
1993-06-04,9.71875
1993-06-07,9.875
1993-06-08,9.625
1993-06-09,9.375
1993-06-10,9.78125
1993-06-11,10.0
1993-06-14,10.4375
1993-06-15,10.625
1993-06-16,10.8125
1993-06-17,10.3125
1993-06-18,10.21875
1993-06-21,9.90625
1993-06-22,9.8125
1993-06-23,9.625
1993-06-24,10.03125
1993-06-25,10.4375
1993-06-28,10.53125
1993-06-29,10.625
1993-06-30,10.5
1993-07-01,10.5
1993-07-02,10.34375
1993-07-06,9.9375
1993-07-07,10.40625
1993-07-08,10.65625
1993-07-09,10.75
1993-07-12,10.96875
1993-07-13,10.9375
1993-07-14,10.78125
1993-07-15,10.90625
1993-07-16,10.5
1993-07-19,10.75
1993-07-20,10.875
1993-07-21,11.1875
1993-07-22,11.28125
1993-07-23,11.40625
1993-07-26,11.0
1993-07-27,11.1875
1993-07-28,10.8125
1993-07-29,10.90625
1993-07-30,11.0
1993-08-02,11.3125
1993-08-03,11.6875
1993-08-04,11.625
1993-08-05,12.34375
1993-08-06,12.09375
1993-08-09,12.34375
1993-08-10,12.8125
1993-08-11,13.34375
1993-08-12,13.71875
1993-08-13,13.78125
1993-08-16,13.25
1993-08-17,13.59375
1993-08-18,13.21875
1993-08-19,13.34375
1993-08-20,13.625
1993-08-23,14.65625
1993-08-24,14.25
1993-08-25,14.28125
1993-08-26,13.625
1993-08-27,13.8125
1993-08-30,13.65625
1993-08-31,13.5
1993-09-01,14.0625
1993-09-02,13.5625
1993-09-03,13.28125
1993-09-07,12.25
