Date,COST
2000-09-15,35.3125
2000-09-18,34.0625
2000-09-19,33.4375
2000-09-20,34.25
2000-09-21,35.375
2000-09-22,34.9375
2000-09-25,34.875
2000-09-26,33.8125
2000-09-27,34.5625
2000-09-28,35.875
2000-09-29,34.9375
2000-10-02,32.9375
2000-10-03,33.828125
2000-10-04,34.484375
2000-10-05,33.625
2000-10-06,33.5
2000-10-09,34.1875
2000-10-10,33.0
2000-10-11,30.625
2000-10-12,31.25
2000-10-13,32.125
2000-10-16,32.0
2000-10-17,32.0
2000-10-18,33.0
2000-10-19,34.9375
2000-10-20,34.3125
2000-10-23,33.5625
2000-10-24,33.9375
2000-10-25,33.0
2000-10-26,33.0
2000-10-27,33.6875
2000-10-30,34.5625
2000-10-31,36.625
2000-11-01,35.75
2000-11-02,36.1875
2000-11-03,35.3125
2000-11-06,34.5625
2000-11-07,35.75
2000-11-08,35.5625
2000-11-09,34.0625
2000-11-10,33.0
2000-11-13,34.4375
2000-11-14,36.875
2000-11-15,36.75
2000-11-16,35.3125
2000-11-17,36.0625
2000-11-20,34.9375
2000-11-21,36.0625
2000-11-22,34.5
2000-11-24,35.4375
2000-11-27,36.6875
2000-11-28,35.25
2000-11-29,36.4375
2000-11-30,32.625
2000-12-01,32.625
2000-12-04,34.125
2000-12-05,35.3125
2000-12-06,33.625
2000-12-07,33.1875
2000-12-08,33.25
2000-12-11,32.9375
2000-12-12,33.1875
2000-12-13,32.75
2000-12-14,34.9375
2000-12-15,34.875
2000-12-18,36.4375
2000-12-19,33.9375
2000-12-20,34.4375
2000-12-21,35.625
2000-12-22,37.375
2000-12-26,36.0625
2000-12-27,37.1875
2000-12-28,38.625
2000-12-29,39.9375
2001-01-02,41.1875
2001-01-03,42.6875
2001-01-04,43.625
2001-01-05,41.3125
2001-01-08,41.9375
2001-01-09,41.8125
2001-01-10,40.6875
2001-01-11,41.3125
2001-01-12,43.0625
2001-01-16,43.5625
2001-01-17,41.4375
2001-01-18,41.4375
2001-01-19,40.4375
2001-01-22,42.25
2001-01-23,42.5
2001-01-24,42.9375
2001-01-25,43.1875
2001-01-26,41.25
2001-01-29,44.0625
2001-01-30,43.75
2001-01-31,46.25
2001-02-01,46.25
2001-02-02,43.9375
2001-02-05,43.1875
2001-02-06,43.75
2001-02-07,45.25
2001-02-08,42.875
2001-02-09,41.3125
2001-02-12,42.4375
2001-02-13,42.9375
2001-02-14,43.6875
2001-02-15,42.8125
2001-02-16,42.6875
2001-02-20,44.125
2001-02-21,42.0
2001-02-22,41.875
2001-02-23,41.375
2001-02-26,42.875
2001-02-27,43.0
2001-02-28,41.75
