Date,TTD
2017-06-09,5.136000156402588
2017-06-12,5.005000114440918
2017-06-13,5.014999866485596
2017-06-14,4.923999786376953
2017-06-15,4.864999771118164
2017-06-16,4.993000030517578
2017-06-19,5.206999778747559
2017-06-20,5.089000225067139
2017-06-21,5.235000133514404
2017-06-22,5.184999942779541
2017-06-23,5.421000003814697
2017-06-26,5.308000087738037
2017-06-27,5.051000118255615
2017-06-28,5.254000186920166
2017-06-29,5.084000110626221
2017-06-30,5.011000156402588
2017-07-03,4.9720001220703125
2017-07-05,4.98799991607666
2017-07-06,4.863999843597412
2017-07-07,4.989999771118164
2017-07-10,5.014999866485596
2017-07-11,5.117000102996826
2017-07-12,5.151000022888184
2017-07-13,5.079999923706055
2017-07-14,5.10099983215332
2017-07-17,5.039000034332275
2017-07-18,4.988999843597412
